,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
80,0.4,0.5,0.5,1,0.491747694,0.507601967,0.515972955,0.638322852,0.515785323,0.702110777,0.639193723
81,0.6,0.987804849,0.502046036,0.657712215,0.444193293,0.517714056,0.504007508,0.775637866,0.557614485,0.966345941,0.583515877
82,0.4,0.5,0.5,0.5,0.5,0.524622991,0.605225789,0.901079189,0.562729663,0.808306509,0.59628967
83,0.65,0.5,0.5,0.5,0.5,0.500572082,0.701642628,0.511085843,0.701465812,0.872262512,0.730582274
84,0.65,0.983784088,0.485177712,0.5,0.5,0.738849618,0.566823752,0.520973782,0.572593812,0.952591159,0.561780768
85,0.35,0.706188461,0.46830606,1,0.585501989,0.503231378,0.565055558,0.6659701,0.519261755,0.577790985,0.530910997
86,0.25,0.5,0.5,1,0.503071253,0.485396476,0.637727957,0.510335638,0.616637453,0.904817259,0.564242125
87,0.55,0.649461076,0.547863349,1,0.59475851,0.533646033,0.525280895,0.551342267,0.542280268,0.939490245,0.604009586
88,0.5,0.5,0.5,1,0.540273607,0.597766756,0.589383488,0.668069033,0.554635856,0.814473685,0.64625231
89,0.5,0.571678158,0.497187496,0.5,0.5,0.580991222,0.546713451,0.798670679,0.539948937,0.900678516,0.65206486
90,0.45,0.99281925,0.498091019,0.5,0.5,0.507674351,0.557932519,1,0.541251518,0.891290717,0.537715437
91,0.3,0.982215583,0.5,1,0.47565407,0.5,0.700833333,0.511940902,0.704,0.5,0.65
92,0.6,0.865899189,0.493474524,1,0.533697599,0.511234126,0.558894737,0.537900637,0.563791913,0.973446709,0.566384348
93,0.55,0.5,0.5,0.5,0.5,0.5,0.6,1,0.618145173,0.550875768,0.627316076
94,0.5,0.5,0.5,0.5,0.5,0.530667581,0.541101806,0.773602531,0.546269285,0.958367874,0.591545641
95,0.65,0.5,0.5,0.5,0.5,0.518552976,0.514481505,0.74838225,0.537076785,0.942358116,0.61891817
96,0.75,0.5,0.5,0.5,0.5,0.571274072,0.514042624,1,0.548359356,0.887890845,0.573779781
97,0.8,0.659938179,0.51376989,1,0.539915476,0.83607502,0.68769259,0.634994031,0.574487218,0.996556596,0.710674207
98,0.65,0.713747136,0.487297085,0.5,0.5,0.511281143,0.653833337,0.511949252,0.651514614,0.5,0.65
99,1,0.5,0.5,1,0.531649768,0.843920892,0.761231577,0.871041422,0.552614899,0.943399893,0.848048324
100,0.75,0.981487772,0.463075023,1,0.516384443,0.752573086,0.621057052,0.947857088,0.540084159,0.968955813,0.711817392
101,0.7,0.966068369,0.499398591,1,0.52278188,0.671490754,0.655171703,0.509092719,0.608653846,0.948752139,0.77016041
102,0.85,0.984229915,0.50757506,1,0.505484222,0.53885147,0.557032303,0.870226575,0.573538938,0.991656087,0.821140304
103,0.8,0.5,0.5,0.5,0.5,0.703213079,0.676196378,0.582088638,0.63985689,0.99009128,0.738559569
