,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
51,0.9,0.793731231,0.664354067,0.962232969,0.782981432,0.94950719,0.942224086,0.996104028,0.899461712,0.992287002,0.980145916
52,0.8,0.787414851,0.625270276,1,0.720757315,0.99074673,0.923937648,0.995888793,0.866280052,0.975918756,0.961863263
53,0.8,0.712853554,0.678562783,1,0.747862639,0.990062385,0.931637987,0.999473684,0.896242115,0.999269006,0.981348872
54,0.9,0.789832761,0.705766354,1,0.819148688,0.985930808,0.957860669,0.962510669,0.907353342,0.993440373,0.981455844
55,0.75,0.698246972,0.650508769,0.910381813,0.725453339,0.92476785,0.864671442,0.999700957,0.88571117,0.995992833,0.979358974
56,0.65,0.812219412,0.609104296,1,0.647987659,0.508281761,0.542222547,0.89554097,0.808856966,0.966475605,0.954376107
57,1.05,0.817348961,0.709677419,0.985477863,0.850198413,0.990750677,0.969953068,0.993664605,0.939953109,1,0.988655449
58,0.95,0.80702754,0.696759259,1,0.724062016,0.993557654,0.960963065,0.999386383,0.913829365,0.994310469,0.975022138
59,0.85,0.855366232,0.684062927,0.978050172,0.753221289,0.955584408,0.939543956,0.915577603,0.893653846,0.998796992,0.975982866
60,0.7,0.773152768,0.619485777,1,0.629435762,0.907167082,0.811430053,0.913187521,0.809176924,0.988742733,0.936467363
61,0.95,0.833137551,0.691486468,1,0.802865122,0.990479677,0.958869921,0.9917877,0.920833137,0.999694002,0.987036225
62,0.75,0.771905834,0.695507211,0.899180375,0.814914229,0.965780078,0.945061289,0.969992667,0.911164508,0.999154135,0.967820534
63,0.6,0.5,0.5,0.786299272,0.502663094,0.840614774,0.872278555,1,0.791846591,0.962355588,0.644561637
64,1,0.730676463,0.677992185,0.95992662,0.76053971,0.985373654,0.959140938,1,0.925788245,0.991397007,0.97091416
65,0.6,0.767160111,0.656669207,1,0.756296702,0.826874104,0.786535165,0.996494356,0.810349869,0.972962666,0.910387864
66,0.75,0.767261548,0.651913876,0.793607361,0.730896806,0.992694154,0.918029099,0.991722581,0.86540399,0.999058428,0.956786881
67,1,0.798146844,0.747491639,1,0.755599473,0.989705138,0.970761194,0.998227102,0.923163143,0.999414916,0.987452378
68,0.85,0.789187995,0.659259259,0.96284756,0.763174705,0.981487848,0.950579681,0.975833214,0.894345987,0.982343756,0.978293524
69,0.8,0.836810207,0.682499348,0.906777793,0.780406866,0.93140362,0.913575333,0.991697798,0.909266544,0.992510158,0.967210669
70,0.9,0.812659488,0.688179223,1,0.739457974,0.969520527,0.949638629,0.998975479,0.895614277,0.996256634,0.978483849
71,0.7,0.769312558,0.657671763,0.892704195,0.708803264,0.970387596,0.923618682,0.999095916,0.851214675,0.999022998,0.961544943
72,0.85,0.842402046,0.64272479,1,0.665107918,0.954714905,0.912458559,0.987733624,0.887339715,0.992686645,0.964781155
73,1,0.718026038,0.68874497,1,0.791861661,0.99533842,0.970686418,0.956735153,0.900803672,0.985969339,0.980512822
74,0.7,0.5,0.5,0.959738562,0.73735207,0.898384056,0.936867279,0.968903697,0.910804559,0.997875852,0.981720804
75,0.95,0.816839958,0.703118735,1,0.793849625,0.987701941,0.967307102,0.988921216,0.917663799,0.999713959,0.989523407
